timestamp,austousd,class
5/2/00,0.5857,Positive
5/3/00,0.59,Negative
5/4/00,0.5914,Negative
5/5/00,0.5935,Positive
5/8/00,0.587,Negative
5/9/00,0.5828,Negative
5/10/00,0.5815,Positive
5/11/00,0.579,Positive
5/15/00,0.5739,Positive
5/16/00,0.5773,Positive
5/17/00,0.5685,Negative
5/18/00,0.5703,Positive
5/19/00,0.5728,Negative
5/22/00,0.574,Negative
5/23/00,0.5747,Positive
5/24/00,0.5713,Positive
5/25/00,0.57,Negative
5/26/00,0.5716,Negative
5/30/00,0.5768,Positive
5/31/00,0.5708,Negative
6/1/00,0.5721,Negative
6/2/00,0.579,Negative
6/5/00,0.5812,Negative
6/6/00,0.5887,Negative
6/7/00,0.59,Negative
6/8/00,0.5878,Positive
6/12/00,0.5912,Negative
6/13/00,0.5973,Negative
6/14/00,0.6007,Positive
6/15/00,0.6015,Negative
6/16/00,0.6083,Negative
6/19/00,0.6024,Positive
6/20/00,0.6037,Positive
6/21/00,0.6026,Positive
6/22/00,0.5993,Negative
6/23/00,0.5964,Positive
6/26/00,0.5965,Negative
6/27/00,0.6012,Negative
6/28/00,0.6023,Negative
6/29/00,0.6029,Negative
6/30/00,0.5971,Positive
7/3/00,0.5996,Positive
7/5/00,0.5907,Negative
7/6/00,0.5909,Positive
7/7/00,0.5901,Negative
7/10/00,0.5912,Negative
7/11/00,0.5891,Positive
7/12/00,0.589,Positive
7/13/00,0.5855,Positive
7/14/00,0.5847,Negative
7/17/00,0.5855,Negative
7/18/00,0.5844,Positive
7/19/00,0.575,Negative
7/20/00,0.5816,Negative
7/21/00,0.5865,Positive
7/24/00,0.586,Negative
7/25/00,0.5849,Positive
7/26/00,0.5904,Positive
7/27/00,0.5891,Positive
7/31/00,0.5787,Negative
8/1/00,0.5805,Positive
8/2/00,0.583,Positive
8/3/00,0.5844,Negative
8/4/00,0.5832,Negative
8/7/00,0.5862,Positive
8/8/00,0.5868,Positive
8/9/00,0.5786,Negative
8/10/00,0.5818,Negative
8/11/00,0.5795,Positive
8/14/00,0.581,Negative
8/15/00,0.5831,Positive
8/16/00,0.5897,Negative
8/17/00,0.5935,Positive
8/18/00,0.5905,Positive
8/21/00,0.589,Positive
8/22/00,0.5802,Positive
8/23/00,0.5708,Negative
8/24/00,0.5725,Negative
8/25/00,0.5737,Positive
8/28/00,0.5715,Positive
8/29/00,0.5713,Positive
8/31/00,0.5764,Positive
9/1/00,0.5765,Negative
9/6/00,0.5655,Positive
9/7/00,0.5579,Negative
9/8/00,0.5557,Positive
9/11/00,0.559,Negative
9/12/00,0.5586,Negative
9/13/00,0.555,Negative
9/14/00,0.549,Positive
9/15/00,0.545,Positive
9/19/00,0.542,Positive
9/20/00,0.5372,Negative
9/21/00,0.5428,Negative
9/22/00,0.5455,Positive
9/25/00,0.549,Positive
9/26/00,0.5506,Negative
9/28/00,0.549,Positive
9/29/00,0.5415,Negative
10/2/00,0.545,Positive
10/3/00,0.54,Positive
10/5/00,0.535,Positive
10/6/00,0.5339,Positive
10/10/00,0.5339,Positive
10/11/00,0.536,Positive
10/12/00,0.532,Positive
10/16/00,0.523,Positive
10/17/00,0.5188,Negative
10/18/00,0.5187,Positive
10/19/00,0.521,Negative
10/20/00,0.528,Positive
10/23/00,0.5274,Negative
10/24/00,0.5256,Positive
10/25/00,0.5191,Positive
10/27/00,0.5233,Negative
10/30/00,0.5235,Positive
10/31/00,0.5181,Negative
11/1/00,0.5227,Negative
11/2/00,0.5208,Negative
11/3/00,0.5249,Positive
11/6/00,0.528,Positive
11/7/00,0.528,Positive
11/8/00,0.5264,Positive
11/9/00,0.5252,Negative
11/10/00,0.522,Positive
11/13/00,0.5205,Positive
11/14/00,0.519,Negative
11/15/00,0.5203,Positive
11/16/00,0.5183,Positive
11/17/00,0.519,Positive
11/20/00,0.5134,Positive
11/21/00,0.5112,Positive
11/22/00,0.5194,Positive
11/24/00,0.5215,Positive
11/27/00,0.5261,Negative
11/28/00,0.5223,Negative
11/29/00,0.5228,Negative
11/30/00,0.5262,Negative
12/1/00,0.5372,Negative
12/4/00,0.5431,Positive
12/5/00,0.5405,Negative
12/6/00,0.5448,Negative
12/7/00,0.547,Positive
12/8/00,0.5445,Positive
12/11/00,0.54,Positive
12/13/00,0.538,Negative
12/14/00,0.5397,Negative
12/15/00,0.5458,Positive
12/18/00,0.5416,Positive
12/19/00,0.5435,Negative
12/20/00,0.5491,Negative
12/21/00,0.5533,Negative
12/22/00,0.555,Negative
12/27/00,0.559,Positive
12/28/00,0.5522,Negative
